uid,nces_school_id,school_name,nces_district_id,district_name,date,school_year,year,time,day_of_week,city,state,population,urban,school_type,enrollment,killed,injured,casualties,shooting_type,age_shooter1,gender_shooter1,race_ethnicity_shooter1,shooter_relationship1,shooter_deceased1,deceased_notes1,age_shooter2,gender_shooter2,race_ethnicity_shooter2,shooter_relationship2,shooter_deceased2,deceased_notes2,white,black,hispanic,asian,american_indian_alaska_native,hawaiian_native_pacific_islander,two_or_more,resource_officer,weapon,weapon_source,lat,long,staffing,low_grade,high_grade,lunch,county,state_fips,county_fips,ulocale
288,4.50E+11,Orangeburg-Wilkinson High School,4503910,Orangeburg,8/18/2021,2021-2022,2021,4:00 PM,Wednesday,"Orangeburg, South Carolina",South Carolina,"13,240",N,public,1016,0,3,3,targeted,14,m,,,,,,,,,,,17,954,30,9,2,2,2,0,,,33.524095,-80.836538,57,9,12,1016,Orangeburg County,45,45075,32
289,3.70E+11,New Hanover High School,3703330,New Hanover County Schools,8/30/2021,2021-2022,2021,11:00 AM,Monday,"Wilmington, North Carolina",North Carolina,"115,451",Y,public,1529,0,1,1,targeted,15,m,b,,,,,,,,,,658,488,290,20,4,1,68,0,,,34.2374,-77.9324,95.53,9,12,1504,New Hanover County,37,37129,12
290,3.70E+11,Mount Tabor High School,3701500,Winston Salem / Forsyth County Schools,9/1/2021,2021-2022,2021,12:00 PM,Wednesday,"Winston-Salem, North Carolina",North Carolina,"249,545",N,public,1491,1,0,1,targeted,15,m,,,,,,,,,,,509,628,252,16,5,2,79,0,,,36.1268,-80.3132,81.76,9,12,595,Forsyth County,37,37067,12
291,4.70E+11,LaVergne High School,4703690,Rutherford County,9/7/2021,2021-2022,2021,3:30 PM,Tuesday,Lavergne,Tennessee,#FIELD!,N,public,1910,0,0,0,targeted,15,m,,,,,,,,,,,474,608,702,66,4,4,52,0,,,35.9887,-86.5597,115.1,9,12,1150,Rutherford County,47,47149,21
292,2.61E+11,Tri-County Education Center,2614280,Ferndale Public Schools,9/8/2021,2021-2022,2021,2:30 PM,Wednesday,"Ferndale, Michigan",Michigan,"19,190",N,public,360,0,0,0,targeted,,m,,,,,,,,,,,29,319,4,2,0,0,6,0,,,42.450386,-83.159362,6.48,9,12,262,Oakland County,26,26125,21
293,5.10E+11,Heritage High School,5102640,Newport News City Pblc Schs,9/20/2021,2021-2022,2021,11:39 AM,Monday,"Newport News, Virginia",Virginia,"186,247",Y,public,1173,0,2,2,targeted,15,m,,,,,,,,,,,77,971,82,7,2,5,29,0,,,37.0063,-76.4272,77.34,9,12,862,Newport News City,51,51700,12
294,2.80E+11,Newton County Elementary School,2803150,Newton County School District,9/30/2021,2021-2022,2021,1:45 PM,Thursday,"Decatur, Illinois",Mississippi,"70,522",N,public,787,0,1,1,accidental,,m,,student,0,,,,,,,,568,167,14,10,22,2,4,0,handgun,boyfriend of child's mother,32.446371,-89.105538,60,PK,5,449,Newton County,28,28101,42
295,4.70E+11,Cummings K-8 Optional School,4700148,Shelby County,9/30/2021,2021-2022,2021,10:00 AM,Thursday,"Memphis, Tennessee",Tennessee,"633,104",N,public,495,0,1,1,targeted,13,m,,,,,,,,,,,1,488,0,0,0,0,6,0,,,35.1189,-90.0283,29.3,PK,8,,Shelby County,47,47157,11
296,4.80E+11,YES Prep Southwest Secondary,4800209,Yes Prep Public Schools Inc,10/1/2021,2021-2022,2021,11:45 AM,Friday,Houston,Texas,"2,304,580",N,public,1010,0,1,1,targeted,25,m,,former student,,,,,,,,,4,53,951,1,1,0,0,0,,,29.605766,-95.44306,61.51,6,12,922,Harris County,48,48201,21
297,4.83E+11,Timberview High School,4828920,Mansfield Isd,10/6/2021,2021-2022,2021,9:15 AM,Wednesday,"Arlington, Texas",Texas,"394,266",N,public,1900,0,4,4,targeted,18,m,b,student,,,,,,,,,44,69,74,21,0,1,11,0,handgun,,32.622073,-97.076321,11.22,9,11,120,Tarrant County,48,48439,11
